product,type,red,green,blue,note,global_port,source
GeoColor (day/night true-color),Composite (proprietary CIRA),Day: ABI C02 (0.64) red + synthetic green; Night: IR C13,Synthetic green (C01/C02/C03 mix) day,Day: C01 (0.47); Night: false-color low-cloud,"Day true-color-like; night IR clouds white, low cloud/fog light blue, static VIIRS city-lights background. Uses ~5 ABI channels.",Recipe is CIRA-proprietary; TAT's own GeoColor-style path already exists. AHI/AMI/FCI have needed bands.,"NOAA NESDIS / GOES-R quick guide (verified: 'GeoColor uses five ABI channels, day vs night')"
True Color (natural),Composite,C02 (0.64),"Synthetic green (0.45*C02 + 0.10*C03 + 0.45*C01, CIMSS recipe) - ABI lacks native green",C01 (0.47),Daylight only. Himawari/AHI & MTG/FCI have a NATIVE green (0.51) band -> cleaner true color without synthesis.,Portable; better on AHI/AGRI/AMI/FCI (native green). Sunlight-only.,CIMSS/CIRA synthetic-green (Bah et al.); widely documented
Sandwich,Blend (not a 3-gun RGB),n/a,n/a,n/a,"Semi-transparent color-enhanced IR C13 (BT) overlaid on high-res VIS C02 - reveals cloud-top texture + temperature together. Alpha blend, not additive RGB.",Fully portable (needs one VIS + one clean IR). Excellent for convection/OT.,EUMeTrain Sandwich quick guide (verified)
Air Mass,RGB (BTD),C08-C10 (6.2-7.3 um WV diff),"C12-C13 (9.6-10.3 um, ~ozone diff)",C08 inverted (6.2 um WV),"Highlights jet/dynamic tropopause, PV, dry intrusions, warm/cold air masses. Limited at high viewing angle (limb).",Portable to SEVIRI/AHI/FCI with matching WV+O3 bands. AHI ozone approximate.,EUMETSAT/NOAA Air Mass quick guide (verified; limb limitation noted)
Dust,RGB (BTD),C15-C13 (12.3-10.3 um),C14-C11 (11.2-8.4 um),C13 (10.3 um),"SEVIRI heritage R=IR12.0-IR10.8, G=IR10.8-IR8.7, B=IR10.8. Dust = magenta/pink. 24h.",Highly portable (window channels on all modern imagers).,EUMeTrain/EUMETSAT Dust RGB quick guide (verified band diffs)
Fire Temperature,RGB (reflectance/BT),C07 (3.9 um),C06 (2.24 um),C05 (1.61 um),Hot fire pixels bright red/orange/yellow by temperature. Often overlaid semi-transparent on GeoColor.,Portable where SWIR/MWIR bands exist (AHI/AMI/FCI yes).,NOAA/CIRA Fire Temperature quick guide (verified; Camp Fire example NESDIS)
Day Cloud Phase Distinction,RGB,C13 (10.3 um IR),C02 (0.64 VIS),C05 (1.6 um SWIR),Separates ice vs water clouds + snow; daytime. Good for convective initiation.,Portable (VIS+SWIR+IR).,NOAA/CIRA Day Cloud Phase quick guide
Nighttime Microphysics,RGB (BTD),C15-C13 (12.3-10.3),C13-C07 (10.3-3.9),C13 (10.3),Fog/low-cloud detection at night; fog appears distinct color. 24h-capable variant of day microphysics.,"Portable (needs 3.9, 10.3, 12.3).",EUMETSAT Night Microphysics quick guide (verified; IR3.9-IR10.8 BTD for fog)
Day Convection,RGB (BTD),C08-C10 (6.2-7.3 WV),C07-C13 (3.9-10.3),C05-C02 (1.6-0.64),"Severe/updraft signatures; overshooting tops, strong updrafts stand out.",Portable with matching bands.,EUMETSAT Day Convection RGB quick guide
Snow/Fog & Natural Color (land),RGB,C05 (1.6 SWIR),C03 (0.86 veg),C02 (0.64),"Natural Color / Snow-Fog family: snow vs cloud discrimination, land surface. Daytime.",Portable; AHI/FCI have equivalents.,EUMETSAT Natural Color quick guide
Ash,RGB (BTD),C15-C13 (12.3-10.3),C14-C11 (11.2-8.4),C13 (10.3),"Volcanic ash + SO2 discrimination; ash appears distinct from ice/water cloud. Same gun layout as Dust, different tuning.",Portable (window channels).,EUMETSAT Ash RGB quick guide
All 16 ABI single channels,Single-band (calibrated),"C01 0.47 (blue), C02 0.64 (red VIS), C03 0.86 (veggie NIR), C04 1.37 (cirrus), C05 1.6 (snow/ice SWIR), C06 2.2 (cloud particle)","C07 3.9 (shortwave win), C08 6.2 / C09 6.9 / C10 7.3 (WV hi/mid/lo)","C11 8.4, C12 9.6 (ozone), C13 10.3 (clean IR), C14 11.2, C15 12.3 (dirty IR), C16 13.3 (CO2)",Each rendered with a color table. TAT rainbow_ir default + corrected Dvorak BD on C13. All 16 free from L1b Rad.,"AHI 16, AGRI 14-15, AMI 16, FCI 16 - map by wavelength via registry.",NCEI ABI L1b band list (verified center wavelengths ch7-16); GOES-R ABI bands
