satellite,generation,earliest,where,resolution,cadence,format,cost,feasibility,caveats,verified
GOES-16 (GOES-East 2017-2025),GOES-R/ABI (16 ch),2017 (operational L1b early 2018; test data mid-2017),"AWS s3://noaa-goes16 (also GCP, Azure); NCEI/CLASS",0.5 km VIS / 1 km / 2 km IR,"FD 10-15 min, CONUS 5 min, Meso 1 min",netCDF4 (L1b Rad / L2 CMIP),Free (NOAA Open Data),EASY - hot & deep. Also a REPROCESSED L1b set spanning early 2018-end 2024 (better calibration).,"Mode-3 (15-min FD) before ~Apr 2019, then Mode-6 (10-min). GOES-16 distribution ends after GOES-19 transition (2025); bucket persists.",AWS open-data-registry + AWS Marketplace (verified)
GOES-17/18/19 (GOES-West + new East),GOES-R/ABI (16 ch),G17: 2018; G18: 2022; G19: 2025,AWS noaa-goes17/18/19; GCP; Azure,same as G16,same,netCDF4,Free,EASY. G17 has known Loop Heat Pipe/cooling artifacts (warm IR at certain times) - flag in UI.,G17 offline Jan 2023 (replaced by G18). G19 became East Apr 2025.,AWS open-data-registry (verified)
"Himawari-8 / Himawari-9 (AHI, 16 ch)",AHI (Himawari),Himawari-8: July 2015,AWS s3://noaa-himawari8 / noaa-himawari9 (JMA source),0.5-1 km VIS / 2 km IR,"FD 10 min, target 2.5 min",netCDF / HSD,Free (JMA via NOAA; attribution requested),EASY - back to July 2015. H8->H9 handover Dec 2022.,License: attribution to JMA/NOAA; no implied endorsement.,AWS noaa-himawari.yaml (verified: 'back to July 2015')
GOES-13/14/15 (GOES-N series),"GOES I-M/N-P Imager (5 ch, GVAR)","N-series operational ~2010 (GOES-13 East 2010, GOES-15 West 2011)",NOAA CLASS (GVAR_IMG); NCEI,1 km VIS / 4 km IR,"~15-30 min routine, RSO faster",GVAR raw / McIDAS AREA / netCDF / GIF,Free (order via CLASS),"MEDIUM - CLASS order-based (not a hot bucket); 5 channels only, no true 16-ch RGBs.",Order/stage latency from CLASS; different calibration; GOES-15 briefly rescanned Aug 2021.,NOAA CLASS GVAR_IMG + NCEI C00681 (verified)
GOES-8 through GOES-12 (GOES I-M),"GOES I-M Imager (5 ch, GVAR)",GOES-8: launch 1994; GVAR archive 1994-08-31 onward,"NOAA CLASS (GVAR_IMG, 19940831-present)",1 km VIS / 4-8 km IR,~15-30 min,GVAR raw / AREA / netCDF,Free (CLASS order),"HARD-ISH - deep (1994) but order-based, older cal, 5 ch, format wrangling.","Best consumed via the reprocessed GridSat-GOES CDR (see next row) for a clean, calibrated, remapped netCDF.",NOAA CLASS catSearch '19940831 - Present' (verified)
GridSat-GOES (reprocessed CDR),Reprocessed GVAR CDR,1994-2015 (period of record),NCEI (C00993),4 km IR remapped to 0.04 deg equal-angle grid,Hourly,"CF-compliant netCDF (5 channels, calibrated BT/reflectance)",Free,"EASY-MEDIUM - the practical way to serve the 1994-2015 GOES era: already calibrated + remapped. Hourly, IR-centric.",Hourly (not sub-hourly); 5 channels; East+West mapped 150E-5E.,"NCEI GridSat-GOES C00993 (verified: 1994-2015, 0.04 deg, hourly)"
Meteosat First/Second Gen (MFG/MSG),MVIRI / SEVIRI,MFG ~1977; MSG/SEVIRI 2004+,EUMETSAT Data Store / Earth Observation Portal; ICARE,SEVIRI 1 km HRV / 3 km,MSG 15 min (rapid scan 5 min),native / netCDF,Free (EUMETSAT registration; CC-friendly for many products),MEDIUM - covers Africa/Europe/Indian Ocean gap; SEVIRI has rich channels for RGBs. Registration + different API.,MFG older era coarse; access via EUMETSAT account not an S3 bucket.,EUMETSAT open data (knowledge; MFG since 1977 widely documented)
"GK-2A (AMI, Korea)","AMI (16 ch, ABI-like)",2019,AWS s3 (NMSC/KMA open) + NMSC portal,0.5-2 km,"FD 10 min, region 2 min",netCDF,Free,EASY-MEDIUM - clean modern 16-ch; closes East Asia/W Pacific gap. Already in SLIDER.,Product naming differs; registry via KMA.,AWS registry notes GK-2A AMI (verified in NOAA collab page)
"FY-4A/4B (AGRI, China)",AGRI (14-15 ch),FY-4A 2018; FY-4B 2022,Fengyun Satellite Data Center (registration); some mirrors,0.5-4 km,"FD ~15 min, region faster",HDF,Free (registration; access friction from outside China),MEDIUM-HARD - closes central-Asia/China gap; access + format friction.,Access reliability/latency variable; HDF wrangling.,FY-4 AGRI specs (knowledge); access caveats known
INSAT-3D/3DR (India),Imager+Sounder (6 ch),2013/2016,"MOSDAC (ISRO, registration)",1-4 km,~30 min,HDF/netCDF,Free (registration),"MEDIUM-HARD - Indian Ocean coverage; fewer channels, access friction.",Coarser cadence; MOSDAC access.,INSAT/MOSDAC (knowledge)
Elektro-L (Russia),MSU-GS (10 ch),L2 2015; L3 2019,RosHydroMet/NTsOMZ portals,1-4 km,FD 15-30 min,proprietary/HDF,Free (registration; access friction),HARD - fills 76E/GEO gap but access + format + reliability friction.,Lowest-priority for a Western free service.,Elektro-L (knowledge)
"Polar: VIIRS (S-NPP/NOAA-20/21), MODIS, METOP/AVHRR",LEO imagers,MODIS 2000; VIIRS 2012; AVHRR 1979,"AWS (noaa-viirs / NASA), NASA LAADS/GIBS, NCEI",VIIRS 375-750 m; MODIS 250 m-1 km,~daily per point (swaths),netCDF/HDF,Free,EASY (via GIBS WMTS) for true-color gap-fill + deep archive + polar coverage geo can't see.,"Swath geometry, not continuous loops; use for gap-fill + high-lat + deep true-color history.",NASA GIBS / AWS (verified elsewhere in session)
