overlay,global_status,source,license,cadence,method,taw_share,free_feasibility,honesty,verified
Radar - US (MRMS),US only,NOAA MRMS composite reflectivity (mrms.ncep.noaa.gov / AWS noaa-mrms-pds),US Gov (free),2 min,Pre-tile MRMS composite refl to XYZ pyramid matching sat grid; blend as overlay,SHARED with TAW radar layer - build the radar tiler once,EASY & free (CONUS/US). This is satellitewx's radar - TAT equals it free.,No global equivalent at MRMS quality.,"MRMS on AWS (knowledge, well documented)"
Radar - Europe (OPERA),Europe,EUMETNET OPERA composite (via national mets / KNMI),Varies by member; some restricted,~15 min,Ingest OPERA composite; tile like MRMS,SHARED radar tiler,MEDIUM - licensing varies; some OPERA products need agreement.,Not uniformly free/open; patchwork.,OPERA/EUMETNET (knowledge)
Radar - global proxy (GPM IMERG),Global 60N-60S,NASA GPM IMERG Early Run (jsimpsonhttps.pps.eosdis.nasa.gov),Free (NASA),"30 min, 4-6 h latency",Tile 0.1deg precip rate as a global 'radar-like' precip overlay; label as satellite precip estimate NOT radar,SHARED precip layer with TAW,"EASY & free & GLOBAL - the honest global radar substitute. 0.1deg (~10 km), 30-min.","NOT radar: 10 km, 4-6 h latency, satellite-estimated. Good for global rain context, not storm-scale nowcasting.","IMERG Early: 0.1deg, 30-min, 4-h latency (VERIFIED, multiple sources)"
Lightning - Americas (GLM),Americas + adjacent oceans,GOES GLM L2 (AWS noaa-goes16/19 GLM-L2-LCFA),Free (NOAA),~20 s (flashes),Aggregate GLM flashes -> flash points / flash-extent density / min-flash-area rasters on sat grid,SHARED lightning layer,EASY & free (Americas). Equals satellitewx GLM free.,GOES-East+West FOV only (Americas/Atlantic/E Pacific).,GLM coverage Americas (VERIFIED)
Lightning - Europe/Africa (MTG-LI),"Europe, Africa, Atlantic, parts S.America/Indian O.",EUMETSAT MTG-LI L2 (Data Store / EUMETCast),Free (EUMETSAT reg.),seconds,Same FED/flash-point rasterization as GLM,SHARED lightning layer,MEDIUM - operational since 31 Oct 2024; free but EUMETSAT account/API. Covers ~84% of disc (EU/Africa/Atlantic).,Newer; EUMETSAT access not an S3 bucket.,"MTG-LI operational 31 Oct 2024, ~84% disc (VERIFIED)"
Lightning - global gap-fill,Asia-Pacific (FY-4 LMI) + ground nets,FY-4 LMI (Asia); ground networks ENTLN/Blitzortung/WWLLN,FY free-ish; ENTLN commercial; Blitzortung non-commercial-only; WWLLN research,varies,Overlay flash points; combine geo lightning imagers (GLM+LI+LMI) for near-global geo lightning,SHARED,MIXED - geo imagers (GLM+MTG-LI+FY-4 LMI) give near-global FREE geo lightning; ground nets have licensing.,"Blitzortung license forbids commercial/ad use (TAT is ad-free -> may qualify, verify terms). ENTLN paid.",FY-4A LMI since 2016 Asia-Pacific ~8 km (VERIFIED)
Warnings - US (NWS/SPC/WPC),US,NWS API (api.weather.gov) warnings; SPC convective outlooks; WPC ERO,US Gov (free),event-driven,Fetch GeoJSON polygons -> render as vector overlay (client-side MapLibre or pre-rasterized),SHARED warnings layer with TAW (vector),EASY & free.,US only; international warnings fragmented.,"NWS API / SPC / WPC (knowledge, standard)"
Warnings - international,Patchy,"MeteoAlarm (Europe), national agencies, WMO Severe Weather",Varies,event,Aggregate available CAP feeds,SHARED,"HARD - fragmented feeds, formats, languages, licenses.",No single global warning feed; best-effort per region.,MeteoAlarm/CAP (knowledge)
Model - US (RTMA/RAP/HRRR),US/regional,"NOAA NOMADS / AWS (noaa-hrrr-bdp-pds, noaa-rap, rtma)",US Gov free,hourly,Extract GRIB2 fields -> render contour/fill tiles or JSON for client; sat overlay,SHARED model layer with TAW (RTMA/HRRR),EASY & free (US).,HRRR CONUS/Alaska only.,HRRR/RAP/RTMA on AWS (knowledge)
Model - global (GFS + ECMWF IFS/AIFS),Global,NOAA GFS (AWS noaa-gfs-bdp-pds); ECMWF Open Data (data.ecmwf.int; AWS/GCP/Azure mirrors),GFS US Gov free; ECMWF IFS+AIFS CC-BY-4.0 (attribution required),6-hourly,"GRIB2 -> field tiles/JSON; overlay MSLP, winds, PWAT, 500 hPa etc. on global sat",SHARED global model layer with TAW,EASY & FREE & GLOBAL now - ECMWF fully open (0.25deg free real-time; 9 km coming 2026 w/ 2-h latency). Attribution required.,Open 0.25deg (~28 km) free subset; full 9 km native has 2-h latency or service charge. Rolling 12 runs (~2-3 days) archive only.,"ECMWF CC-BY-4.0, 0.25deg free, open since 1 Oct 2025 (VERIFIED); AIFS also free"
Surface obs - METAR/station plots,Global (airports),"NOAA/AWC METAR (aviationweather.gov), synop",Free,hourly/special,Parse METAR -> station-plot glyphs as vector overlay,SHARED station-plot component with TAW,EASY & free & global (station density varies).,Sparse over oceans/remote land.,"AWC METAR (knowledge, standard)"
