rank,item,impact,effort,method,data_source,taw_share,value,economics,validation,leverage
1,90-frame GIF/MP4 export w/ Discord-safe <=10MB toggle,8,3,"Client encodes loaded ImageBitmap frames (gif.js/WebCodecs); size lever = res x frames x palette; TAT palette baked (no color shift); Discord-safe drops res first, keeps 90 frames.",Already-loaded loop frames,Export/encoder module shared with TAW map snapshot,Beats satellitewx 50-frame Pro loops; free; shares cleanly to Discord (TC community),Client encode $0; optional server high-res worker on-demand cheap,"90-frame GIF <=10MB in Discord-safe mode, no palette drift",2.67
2,Tiled zoom pyramid + viewport region-picker (SLIDER model),10,4,"Render each product ONCE to full-res, cut to XYZ WebP pyramid; browser stitches viewport tiles (canvas/ImageBitmap). Draw-a-box + preset regions = viewport rects over the pyramid, never on-demand render.",Existing GOES/Himawari renders (already produced),"Region-picker component shared across /satellite/, /models/, TAW",Every sector/AOI for free from one render; kills weathernerds fragility; foundation for time machine + panes + export,Storage ~$1-15/mo hot; serving zero-egress + CDN-cached. Cheapest high-impact move.,"Any AOI renders from cache <300ms, no origin render; full native-res zoom",2.5
3,Dual/quad time-locked compare panes,7,3,"N synchronized viewport instances, one clock+AOI, independent product/overlay per pane.",Existing R2 tiles,Multi-pane layout shell shared with TAW,"Compare channels/sats/times side-by-side (e.g. IR vs MW vs true-color on one storm). satellitewx Pro, free.",More reads/session but CDN-cached; negligible,Panes stay frame-synced during playback,2.33
4,Pixel/BT inspector + pin time-series (shared data-tile),8,4,Ship compact calibrated data raster beside each display tile; hover=sample BT; pin=sample across loop -> time-series chart.,Calibrated BT/reflectance from L1b,Value-probe + meteogram engine shared with TAW,"Real brightness-temp anywhere (Dvorak-relevant); pinned trends. satellitewx Pro feature, free.",~2x raster storage on inspected products; still <$/mo,Hover BT within +-1K of netCDF at 100 random px; series matches manual extraction,2.0
5,Draw/annotate + distance/measure toolset,6,3,"Client vector layer (WPC front glyphs, text, shapes) + geodesic measure; baked into exports.",n/a (client),Draw + measure components shared with TAW (build once),"Front/annotation drawing in exports + domain-aware distance. satellitewx Pro, free.",$0 client-side,Glyphs render all zooms; measure within 0.1%; annotations in exports,2.0
6,"All-16-channel + full RGB suite, GLOBAL (declarative registry)",9,5,Numba/xarray band-math pipeline driven by product registry; recipes from verified quick guides; per-sensor band map (ABI/AHI/AMI/AGRI/FCI) so recipes port across the ring.,L1b radiances from each sat bucket,Satellite layer source for TAW,"Equals satellitewx's 16 ch + 9 RGBs, but GLOBAL and free; new bird = config not code","Compute at ingest (cheap, batched); storage per hot window as modeled",RGB output matches EUMETSAT/CIRA quick-guide reference chips; BT within 1K,1.8
7,Deep FREE time machine (tiered hot + on-demand cold),10,6,Hot recent window pre-rendered to R2; older render-on-demand from free NOAA/AWS/JMA raw + short-TTL cache; event bookmarks; spans generations via registry (GOES-R->GVAR/GridSat->Himawari->Meteosat).,"AWS noaa-goes16-19 (2017+), noaa-himawari8/9 (2015+), NCEI GridSat-GOES (1994-2015), CLASS GVAR, EUMETSAT",Timeline control shared with TAW,"Headline differentiator: satellitewx caps 48h paywalled; TAT = years, free. Event bookmarks for notable storms.",Hot ~$15/mo; deep on-demand ~flat compute; pre-storing whole era 100-1000x more (see fig).,Jump to any 2017-now timestamp; 2005 date returns GridSat hourly IR w/ era banner,1.67
8,Favorites + cross-device sync (no paid backend),6,4,Encode full view state (sat+product+overlay+AOI+loop) in URL + localStorage; optional sync via Cloudflare Workers KV / D1 (free tier) w/ magic-link.,n/a,Shared state-serialization + sync with TAW/CycloLab,"satellitewx paywalls favorites+sync; TAT free via edge-KV, not a paid user backend",Workers KV free tier ample; near $0,Saved combo restores exactly; syncs across 2 devices via magic-link,1.5
9,Global model overlays (GFS + ECMWF IFS/AIFS free),7,5,GRIB2 -> field tiles/JSON; MSLP/winds/PWAT/500hPa on global sat; attribution for ECMWF.,AWS noaa-gfs-bdp-pds; ECMWF Open Data CC-BY-4.0 (0.25deg free real-time),Global model layer shared with TAW (undoes satellitewx's planned Pro+ paywall),Gives away free what satellitewx plans to charge for (Pro+ HRRR/GFS/ECMWF),GRIB decode compute modest; data free,Field overlay aligns to sat; ECMWF attribution shown,1.4
10,Global radar/precip + lightning overlays (honest global),8,6,MRMS tiles (US) + IMERG global precip (labeled estimate) + GLM (Americas)+MTG-LI(EU/Africa)+FY-4 LMI(Asia) near-global geo lightning. Rasterize/tile to match sat grid.,"noaa-mrms-pds, NASA IMERG Early, GOES GLM, EUMETSAT MTG-LI, FY-4 LMI","Radar/precip/lightning layers built ONCE in TAW, mounted in sat toolkit",satellitewx radar+GLM are US/Americas only; TAT adds honest GLOBAL precip + near-global geo lightning,Tiling compute modest; IMERG/GLM free; MTG-LI/FY-4 access friction,MRMS aligns to sat within 1 tile; IMERG global 30-min refresh; lightning FED matches L2,1.33
