platform,type,coverage,imagery_products,overlays,analysis_tools,archive,serving_architecture,cadence_notes,cost_model,key_differentiator,verified
satellitewx.com,Paid consumer/pro (benchmark),GOES-East & -West only (Western Hemisphere),"All 16 ABI channels + 9 named RGBs (GeoColor, Sandwich, AirMass, Fire Temp, Dust, +more)",MRMS radar; GLM lightning; NWS warnings; SPC/WPC outlooks; ProbSevere; RTMA; RAP 5 levels; METAR,Front/annotation draw; pixel (brightness-temp) inspector; distance/measure; time-series on pinned point; dual & quad time-locked panes; screenshot + animated-GIF export,Last 48 h replay (Pro),Pre-render server-side: pull raw ABI from NOAA buckets -> calibrate all 16 ch to radiance/BT 24/7 -> Numba-accelerated RGB compositing -> project to regional Mercator grids -> rasterize radar/ltg/warnings/model to matching grids -> write ready-to-view images -> stream pre-rendered frames to thin client,Full Disk ~10 min; CONUS ~5 min; 1-min mesoscale; dozens of sub-sectors derived from FD & CONUS,"Free=CONUS,GeoColor+Ch13,6-frame,1 fav. Pro $19.99/yr=all. Pro+ planned=HRRR/GFS/ECMWF overlays","Deep integrated analysis toolkit + polished cross-device app + overlays; but GOES-only, paywalled, 48h archive cap",Brief (satellitewx own copy); serving model self-described
CIRA/RAMMB SLIDER,Free research/public (gold standard viewer),"Global geostationary ring: GOES-16/18/19, Himawari-8/9, Meteosat-9/0deg & IODC, GK-2A; + Polar SLIDER (VIIRS S-NPP/NOAA-20)","All individual bands + large multispectral/RGB product set per sat (GeoColor, etc.)","Lat/lon grid, political borders, city labels; limited data overlays vs satellitewx",Side-by-side slider compare; URL state sharing (short URL); extensive keyboard shortcuts; zoom to full native resolution,Multi-day rolling per product (varies); SLIDER-Archive for select events,Server pre-renders full-res imagery into an XYZ-style TILE PYRAMID (small square tiles per zoom level); thin browser client downloads + stitches tiles for the viewport and loops them (canvas). Every pixel viewable.,"Matches native scan (FD ~10 min, meso 1 min); latency ~ scan duration + processing","Free, publicly funded (NOAA/CIRA/CSU)",True tiled zoom-to-every-pixel + global ring + polar; the reference tiling architecture to emulate. Thin on data overlays and analysis tools.,CIRA SLIDER site + AMS abstracts (verified)
NASA Worldview / GIBS,Free global multi-sensor,"Truly global, 1000+ layers, polar + geostationary + LEO (MODIS, VIIRS, etc.)","Hundreds of imagery layers incl. true-color, band composites, L2 geophysical products","Fires, aerosols, sea ice, many science layers; place labels, orbit tracks",Layer stacking + opacity; A/B compare swipe; area snapshot/export; animation; data download links,"Deep multi-year (MODIS since 2000, VIIRS since 2012) via WMTS","GIBS serves standards-based WMTS/XYZ tile pyramids (EPSG:4326, 3857, polar); pre-generated tiles; Worldview is a thin OpenLayers client. The open WMTS standard is the interoperability model.",Mostly daily LEO composites; some near-real-time (~3 h) imagery layers,Free (NASA ESDIS),WMTS tiling standard + deepest multi-year LEO archive + global layer breadth. Not TC-cadence (no 1-min geo loops).,NASA GIBS/Worldview docs (verified)
RealEarth (SSEC/UW-Madison),Free/institutional global layering,"Global, multi-sensor (geo + polar + products)","Geo imagery, RGBs, derived products, model, radar layers (900+ products)","Radar, lightning, model, point data; user KML/upload","Layer stacking, opacity, time animation, probe values, share",Rolling per product,Tile-server (XYZ) pre-generated from a product ingest system; web/mobile thin client,Near-real-time per product,Free,Very broad product catalog + probing; research-grade. UX less consumer-slick.,SSEC RealEarth (knowledge; not re-verified this session)
Zoom Earth,"Free consumer global, slick",Global geostationary mosaic (GOES + Himawari + Meteosat) + polar gap-fill,GeoColor-like true-color composite; IR; simple set,"Storm tracks, NWS/agency warnings, wind/precip (via partners), place labels, radar (regional)","Timeline scrub, measure (limited), share/deep-link, fullscreen",Recent days; notable event imagery,Pre-rendered global tile mosaic on a MapLibre/Leaflet-style slippy map; seamless disk-to-disk blend across satellites,~10-30 min refresh global mosaic,Free (ad-supported),Seamless GLOBAL blended mosaic on a map with beautiful UX; the consumer benchmark for global look. Few pro tools / channels.,Zoom Earth (knowledge; product behavior)
Windy.com,Free/freemium consumer global,Global,Satellite (IR/visible/GeoColor-like) layer among many,"Model fields (ECMWF/GFS/ICON/HRRR), radar (where avail), lightning (partner), warnings, webcams, isolines, particle wind animation","Pixel/point picker (forecast meteogram), distance, draw route, compare models, favorites/account",Short satellite archive; model runs,MapLibre/Leaflet client; model data pre-tiled + interpolated in-browser (WebGL particle); satellite as raster tiles,Model-driven; satellite ~15-30 min,Free; Premium tier for higher res/cadence + no ads,Best-in-class model layer UX + WebGL particle animation + huge layer stack. Satellite is secondary; not TC-imagery-focused.,Windy (knowledge; product behavior)
Ventusky,Free consumer global,Global,Satellite IR/visible layer,"Model fields, radar, lightning, air quality","Point picker, timeline, layer switch",Short,Custom slippy-map client; pre-rendered raster layers,Model-driven,Free/freemium,Clean model visualization; satellite secondary.,Ventusky (knowledge)
Tropical Tidbits,Free TC/model enthusiast,Basin-focused (Atlantic/EPAC/WPAC) + global model,GOES/Himawari floaters (IR/visible/RGB) storm-centered; basin sat,"Model guidance (huge), recon, analysis; sat overlays limited","Loop controls, model panels, storm selector",Recent + notable storms,Server pre-renders storm-centered sat loops + model graphics to static images; thin JS looping client,Sat ~10 min; model per run,Free (donations),"TC/model depth, floater loops (TAT already matches). Serving = pre-rendered image loops.",Tropical Tidbits (knowledge)
Weathernerds,Free TC/meso enthusiast,Global geo + model,"GOES/Himawari sat, region-selectable","Model, some data layers","Draw-a-box AOI -> ON-DEMAND server render of that region (the fragile pattern to AVOID), loop, product select",Recent,On-demand server render per user AOI request (flexible but latency/scaling-fragile under load),Sat native,Free,Flexible custom regions via on-demand render - powerful but the anti-pattern TAT should replace with viewport-over-pyramid.,Weathernerds (knowledge); brief cites its fragility
College of DuPage NEXLAB,Free education/enthusiast,GOES/Himawari + Meteosat regional; US radar/model,"All ABI bands + RGBs, sector menu","Radar, surface obs, model","Sector/product menus, loop, some overlays",Recent + some archive,Server pre-renders sector images (menu-driven) to static frames; JS looper,Native scan,Free (university),Huge sector menu + long-standing product breadth; classic pre-rendered-sector model.,CoD NEXLAB (knowledge)
Pivotal Weather,Freemium model + sat,Mostly CONUS/regional model; some sat,Model graphics primarily; sat secondary,Model fields extensive,"Pane compare, point sounding, favorites (Plus tier)",Model runs,Server pre-renders model/sat graphics to images; thin client,Per model run,Free + Plus subscription,Model-graphics focus; sat minor. Not a satellite toolkit competitor.,Pivotal Weather (knowledge)
weather.us / wxcharts-class,Freemium model + sat,Global/regional model + sat,Sat layer among model maps,"Model ensembles, fields","Point picker, compare, premium cadence",Model runs,Pre-rendered model maps + tiled sat; thin client,Per run,Freemium,Model ensemble depth; sat secondary.,weather.us (knowledge)
